sampling,dataset,model,split,identity,task,seed,status,error,n_features,n_classes,n_train,n_val,n_test,classes_missing_in_train,classes_missing_in_val,classes_missing_in_test,n_entities_train,n_entities_val,n_entities_test,best_epoch,epochs_run,val_macro_f1,runtime_sec,test_accuracy,test_macro_f1,test_weighted_f1,test_binary_f1,test_macro_precision,test_macro_recall,test_fpr,test_support_test,test_n_classes_present,test_macro_f1_learnable,test_n_classes_learnable,identity_semantics,n_nodes,test_unseen_node_share,shuffle_labels,val_uninformative,source_file
entity,NF-BoT-IoT-v2,xgboost,random,keep,binary,42,ok,,43.0,2.0,674497.0,144536.0,144534.0,0.0,0.0,0.0,18.0,14.0,18.0,597.0,597.0,0.998939147653346,22.3,0.9995779539762272,0.9991252410042876,0.9995781586129224,0.9997545380284978,0.9986419086698446,0.9996099500437408,0.0003455936805726,144534.0,2.0,0.9991252410042876,2.0,identity_features_keep,,,False,False,results_v2/binary/results.csv
entity,NF-BoT-IoT-v2,mlp,random,keep,binary,42,ok,,43.0,2.0,674497.0,144536.0,144534.0,0.0,0.0,0.0,18.0,14.0,18.0,46.0,57.0,0.9888236693334648,532.8,0.994644858649176,0.989060088678863,0.9946857433966056,0.996876538526727,0.9817588196447438,0.9967000801576344,0.0004443347321648,144534.0,2.0,0.989060088678863,2.0,identity_features_keep,,,False,False,results_v2/binary/results.csv
entity,NF-BoT-IoT-v2,transformer,random,keep,binary,42,ok,,43.0,2.0,674497.0,144536.0,144534.0,0.0,0.0,0.0,18.0,14.0,18.0,8.0,19.0,0.987976094868258,351.9,0.9941882186890282,0.9881411163017676,0.9942359111737024,0.9966094032549728,0.9803213627088332,0.9963519003432584,0.0006418168353492,144534.0,2.0,0.9881411163017676,2.0,identity_features_keep,,,False,False,results_v2/binary/results.csv
entity,NF-BoT-IoT-v2,autoencoder,random,keep,binary,42,ok,,43.0,2.0,674497.0,144536.0,144534.0,0.0,0.0,0.0,18.0,14.0,18.0,30.0,41.0,0.9886295305217782,373.8,0.9945064829036766,0.9887819347405098,0.9945495079441096,0.9967955702996988,0.9813006374815044,0.9966196160406072,0.0004443347321648,144534.0,2.0,0.9887819347405098,2.0,identity_features_keep,,,False,False,results_v2/binary/results.csv
entity,NF-BoT-IoT-v2,xgboost,random,drop,binary,42,ok,,39.0,2.0,674497.0,144536.0,144534.0,0.0,0.0,0.0,18.0,14.0,18.0,598.0,598.0,0.9954054392589028,12.8,0.9979036074556852,0.9956743218292292,0.9979093010407332,0.9987796675701692,0.993003317772932,0.9983883895431536,0.0009380399901258,144534.0,2.0,0.9956743218292292,2.0,identity_features_drop,,,False,False,results_v2/binary/results.csv
entity,NF-BoT-IoT-v2,mlp,random,drop,binary,42,ok,,39.0,2.0,674497.0,144536.0,144534.0,0.0,0.0,0.0,18.0,14.0,18.0,21.0,32.0,0.9867927572213596,288.8,0.9938215229634548,0.9874032884174851,0.99387471326807,0.9963948761218072,0.9792219400256224,0.9960146980908566,0.0009380399901258,144534.0,2.0,0.9874032884174851,2.0,identity_features_drop,,,False,False,results_v2/binary/results.csv
entity,NF-BoT-IoT-v2,transformer,random,drop,binary,42,ok,,39.0,2.0,674497.0,144536.0,144534.0,0.0,0.0,0.0,18.0,14.0,18.0,16.0,27.0,0.986611404196406,494.5,0.9936693096434056,0.9870971121751824,0.9937248037540454,0.9963058214601492,0.978775770577034,0.9958642013909867,0.0010861515675141,144534.0,2.0,0.9870971121751824,2.0,identity_features_drop,,,False,False,results_v2/binary/results.csv
entity,NF-BoT-IoT-v2,autoencoder,random,drop,binary,42,ok,,39.0,2.0,674497.0,144536.0,144534.0,0.0,0.0,0.0,18.0,14.0,18.0,15.0,26.0,0.9870334271805854,256.2,0.9938561168998298,0.987460937482735,0.9939059301555102,0.9964157995430952,0.9797435012292663,0.9955595868080394,0.0020735620834361,144534.0,2.0,0.987460937482735,2.0,identity_features_drop,,,False,False,results_v2/binary/results.csv
entity,NF-BoT-IoT-v2,xgboost,temporal,keep,binary,42,skipped,dataset has no timestamp column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_v2/binary/results.csv
entity,NF-BoT-IoT-v2,mlp,temporal,keep,binary,42,skipped,dataset has no timestamp column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_v2/binary/results.csv
